District,STATE,TEHSIL,Shape_Leng,Shape_Area,SR_SEX RATIO
P>LAKK>D,KERALA,ALATHUR,150475.24090999999,578919605.39199995995,1058
ERN>KULAM,KERALA,ALUVA,155736.40339699999,550828741.98500001431,1027
PATTANAMTHITTA,KERALA,ADOOR,110539.20932100000,270281877.99599999189,1145
>LAPPUZHA,KERALA,AMBALAPPUZHA,92255.87173519999,187397416.17699998617,1064
TRISS@R,KERALA,CHAVAKKAD,376808.06941900001,1270626860.08999991417,1181
KOTTAYAM,KERALA,CHANGANASSERY,125737.82781700000,269182222.98799997568,1063
>LAPPUZHA,KERALA,CHENGANNUR,81001.79014110002,146732103.62999999523,1161
>LAPPUZHA,KERALA,CHERTHALA,94685.60625660000,333937588.86900001764,1043
THIRUVANANTHAPURAM,KERALA,CHIRAYINKEEZHU,98320.21284209999,224061572.18099999428,1195
P>LAKK>D,KERALA,CHITTUR,227752.44271300000,1161171890.82999992371,1033
IDUKKI,KERALA,DEVIKULAM,244025.09582200000,1225880631.45000004768,995
MALAPPURAM,KERALA,ERNAD,201424.31134799999,515656834.41699993610,1052
K>SARAGOD,KERALA,HOSDURG,179894.39881899999,448297115.48799997568,1115
IDUKKI,KERALA,IDUKKI,178668.61095900001,749574385.98899996281,1012
KANN@R,KERALA,IRITTY,183135.40761900001,744204692.79900014400,1091
KOTTAYAM,KERALA,KANJIRAPPALLY,183295.73977700001,451957699.57400000095,1040
>LAPPUZHA,KERALA,KARTHIKAPPALLY,85895.44497040000,237099519.50799998641,1149
THIRUVANANTHAPURAM,KERALA,KATTAKADA,130220.89715200001,416240939.13400000334,1041
ERN>KULAM,KERALA,KANAYANNUR,118972.96692200001,318124142.48900002241,1034
KANN@R,KERALA,KANNUR,122735.92505500000,301260806.10600000620,1180
KOLLAM,KERALA,KARUNAGAPPALLY,87025.14715490000,183184652.05500000715,1099
K>SARAGOD,KERALA,KASARAGOD,174379.31945600000,616541838.94500005245,1049
ERN>KULAM,KERALA,KOCHI,106445.81298200000,144504360.78799998760,1025
KOLLAM,KERALA,KOLLAM,115252.34427000000,394569815.83999997377,1101
MALAPPURAM,KERALA,KONDOTTY,105578.66234900001,254458127.18999999762,1052
PATTANAMTHITTA,KERALA,KONNI,290761.17776100000,1485114904.55999994278,1091
ERN>KULAM,KERALA,KOTHAMANGALAM,238004.03378100001,975153376.33299982548,1015
KOLLAM,KERALA,KOTTARAKKARA,187637.68064400001,568900033.66700005531,1139
KOTTAYAM,KERALA,KOTTAYAM,146452.48175400001,516002306.50099998713,1044
KOZHIKODE,KERALA,QUILANDY,264954.14358300000,673311720.58599996567,1121
PATTANAMTHITTA,KERALA,KOZHENCHERY,93756.68791769999,181542926.85899999738,1146
KOZHIKODE,KERALA,KOZHIKODE,179806.60820900000,543805118.55200004578,1074
