District,STATE,TEHSIL,Shape_Leng,Shape_Area,_count,_sum,_mean
P>LAKK>D,KERALA,P>LAKK>D,170851.07890800000,723530052.34300005436,854.000000000000000,209907.000000000000000,245.792740046838418
ERN>KULAM,KERALA,PARAV@R,76791.30572670000,195295055.29500001669,226.000000000000000,1018.000000000000000,4.504424778761062
P>LAKK>D,KERALA,PATT>MBI,121650.73941400000,376983297.06699997187,445.000000000000000,22535.000000000000000,50.640449438202246
KOLLAM,KERALA,PATTAN>PURAM,128665.13107900000,267205384.11300000548,311.000000000000000,27564.000000000000000,88.630225080385856
KANN@R,KERALA,PAYYANN@R,162368.56932800001,507758531.94700002670,602.000000000000000,52220.000000000000000,86.744186046511629
MALAPPURAM,KERALA,PERINTALMANNA,174980.66034999999,511081839.53500002623,598.000000000000000,46862.000000000000000,78.364548494983282
MALAPPURAM,KERALA,PONN>NI,76496.21344250000,204157117.33599996567,232.000000000000000,1255.000000000000000,5.409482758620690
KOLLAM,KERALA,PUNAL@R,204127.88018499999,997014038.88300001621,1147.000000000000000,352374.000000000000000,307.213600697471691
PATTANAMTHITTA,KERALA,R>NNI,197390.12392400001,448497177.77600002289,522.000000000000000,121683.000000000000000,233.109195402298838
WAYANAD,KERALA,SULT>N BATTERY,171542.21604500001,776226256.95899987221,921.000000000000000,784486.000000000116415,851.776330076004342
KOZHIKODE,KERALA,T>MARASSERRY,242389.11249900001,568048623.24100005627,674.000000000000000,224926.000000000000000,333.718100890207722
TRISS@R,KERALA,TALAPPALLI,138650.67973700000,483270383.31999999285,570.000000000000000,51937.000000000000000,91.117543859649118
KANN@R,KERALA,TALASSERI,215536.09747099999,590156712.91799998283,708.000000000000000,71570.000000000000000,101.087570621468927
KANN@R,KERALA,TALIPARAMBA,199035.79648799999,833382104.66700005531,992.000000000000000,150182.000000000000000,151.393145161290334
MALAPPURAM,KERALA,TIR@R,145593.95953299999,456464150.53700000048,534.000000000000000,17928.000000000000000,33.573033707865171
MALAPPURAM,KERALA,TIR@RANG>DI,115367.48100400000,261846953.95600000024,305.000000000000000,7488.000000000000000,24.550819672131148
PATTANAMTHITTA,KERALA,TIRUVALLA,99671.56113870000,170861805.99200001359,197.000000000000000,2267.000000000000000,11.507614213197970
THIRUVANANTHAPURAM,KERALA,THIRUVANANTHAPURAM,112260.13681600000,323713793.56800001860,371.000000000000000,7919.000000000000000,21.345013477088948
IDUKKI,KERALA,TODUPUZHA,139186.84362100001,543208919.48099994659,631.000000000000000,117913.000000000000000,186.866877971473855
TRISS@R,KERALA,TRISS@R,162226.48102300000,671658294.02400004864,786.000000000000000,65828.000000000000000,83.750636132315520
IDUKKI,KERALA,UDUMBANCHOLA,184429.52302600001,588909979.96099996567,689.000000000000000,722633.000000000000000,1048.814223512336639
KOZHIKODE,KERALA,VADAKARA,152085.99610300001,579707013.82200002670,684.000000000000000,127744.000000000000000,186.760233918128648
KOTTAYAM,KERALA,VAIKAM,98292.83761350000,327082387.22100001574,381.000000000000000,4420.000000000000000,11.601049868766404
WAYANAD,KERALA,VAITHIRY,166868.10710900000,620793109.70500004292,736.000000000000000,626056.000000000000000,850.619565217391255
THIRUVANANTHAPURAM,KERALA,VARKALA,87766.61400700000,171818320.66600000858,197.000000000000000,6054.000000000000000,30.730964467005077
K>SARAGOD,KERALA,VELLARIKUNDU,161251.01439100000,544356835.23500001431,647.000000000000000,130713.000000000000000,202.029366306027811
