District,STATE,TEHSIL,Shape_Leng,Shape_Area,_count,_sum,_mean
MALAPPURAM,KERALA,PERINTALMANNA,174980.66034999999,511081839.53500002623,598.000000000000000,804914.824218750000000,1346.011411737040135
MALAPPURAM,KERALA,PONN>NI,76496.21344250000,204157117.33599996567,237.000000000000000,478307.400756835937500,2018.174686737704405
KOLLAM,KERALA,PUNAL@R,204127.88018499999,997014038.88300001621,1147.000000000000000,414331.197540283203125,361.230337872958330
PATTANAMTHITTA,KERALA,R>NNI,197390.12392400001,448497177.77600002289,522.000000000000000,248186.339355468750000,475.452757385955465
WAYANAD,KERALA,SULT>N BATTERY,171542.21604500001,776226256.95899987221,921.000000000000000,377538.405349731445312,409.922264223378306
KOZHIKODE,KERALA,T>MARASSERRY,242389.11249900001,568048623.24100005627,674.000000000000000,1092099.576232910156250,1620.325780760994348
TRISS@R,KERALA,TALAPPALLI,138650.67973700000,483270383.31999999285,570.000000000000000,547115.065979003906250,959.850992945620874
KANN@R,KERALA,TALASSERI,215536.09747099999,590156712.91799998283,708.000000000000000,613834.952545166015625,866.998520544019811
KANN@R,KERALA,TALIPARAMBA,199035.79648799999,833382104.66700005531,992.000000000000000,665357.544326782226562,670.723330974578857
MALAPPURAM,KERALA,TIR@R,145593.95953299999,456464150.53700000048,535.000000000000000,1152990.774902343750000,2155.122943742698681
MALAPPURAM,KERALA,TIR@RANG>DI,115367.48100400000,261846953.95600000024,306.000000000000000,735695.696289062500000,2404.234301598243292
PATTANAMTHITTA,KERALA,TIRUVALLA,99671.56113870000,170861805.99200001359,197.000000000000000,282300.599975585937500,1432.997969419217952
THIRUVANANTHAPURAM,KERALA,THIRUVANANTHAPURAM,112260.13681600000,323713793.56800001860,373.000000000000000,1408372.434631347656250,3775.797411880288564
IDUKKI,KERALA,TODUPUZHA,139186.84362100001,543208919.48099994659,631.000000000000000,254863.387573242187500,403.903942271382220
TRISS@R,KERALA,TRISS@R,162226.48102300000,671658294.02400004864,786.000000000000000,1047771.170410156250000,1333.042201539638882
IDUKKI,KERALA,UDUMBANCHOLA,184429.52302600001,588909979.96099996567,689.000000000000000,271741.076240539550781,394.399239826617645
KOZHIKODE,KERALA,VADAKARA,152085.99610300001,579707013.82200002670,684.000000000000000,873842.914489746093750,1277.548120599044069
KOTTAYAM,KERALA,VAIKAM,98292.83761350000,327082387.22100001574,377.000000000000000,389636.938842773437500,1033.519731678444032
WAYANAD,KERALA,VAITHIRY,166868.10710900000,620793109.70500004292,736.000000000000000,346945.391906738281250,471.393195525459646
THIRUVANANTHAPURAM,KERALA,VARKALA,87766.61400700000,171818320.66600000858,197.000000000000000,324485.828369140625000,1647.136184614927060
K>SARAGOD,KERALA,VELLARIKUNDU,161251.01439100000,544356835.23500001431,647.000000000000000,417465.560874938964844,645.232706143646055
