District,STATE,TEHSIL,Shape_Leng,Shape_Area,_count,_sum,_mean
K>SARAGOD,KERALA,MANJESHVAR,144865.32400100000,383803482.23900002241,465,1760.25939923711,3.78550408438088
P>LAKK>D,KERALA,MANN>RKK>D,245016.29567200001,1217721608.10999989510,1435,444.623396318901,0.309842088027108
TRISS@R,KERALA,MUKUNDAPURAM,149046.47324799999,435516448.52100008726,515,3358.02427191974,6.52043547945581
ERN>KULAM,KERALA,MUV>TTUPUZHA,152176.06776500001,446715861.95099997520,519,1214.1937955101,2.33948708190771
THIRUVANANTHAPURAM,KERALA,NEDUMANG>D,150348.45976200001,840827390.95700001717,966,1344.4880035501,1.39180952748457
THIRUVANANTHAPURAM,KERALA,NEYY>TTINKARA,126299.23202300000,284320417.94300001860,325,1140.75190010713,3.51000584648349
MALAPPURAM,KERALA,NILAMB@R,218644.29444600001,1385550070.24000000954,1639,177.509600354475,0.108303599972224
P>LAKK>D,KERALA,OTTAPP>LAM,132942.48610200000,479397370.10799998045,564,1168.3667986854,2.07157233809468
IDUKKI,KERALA,P|RMED,298497.65571700002,1337022133.19000005722,1546,102.650100024417,0.066397218644513
P>LAKK>D,KERALA,P>LAKK>D,170851.07890800000,723530052.34300005436,857,4717.06239824247,5.5041568240869
ERN>KULAM,KERALA,PARAV@R,76791.30572670000,195295055.29500001669,226,3448.19142456353,15.2574841794846
P>LAKK>D,KERALA,PATT>MBI,121650.73941400000,376983297.06699997187,445,1550.04110375114,3.48323843539581
KOLLAM,KERALA,PATTAN>PURAM,128665.13107900000,267205384.11300000548,311,378.436799097806,1.21683858230806
KANN@R,KERALA,PAYYANN@R,162368.56932800001,507758531.94700002670,603,3165.68349251495,5.24988970566326
MALAPPURAM,KERALA,PERINTALMANNA,174980.66034999999,511081839.53500002623,601,1574.27449441236,2.61942511549477
MALAPPURAM,KERALA,PONN>NI,76496.21344250000,204157117.33599996567,239,1630.08340048231,6.8204326380013
KOLLAM,KERALA,PUNAL@R,204127.88018499999,997014038.88300001621,1148,769.33209788613,0.670149911050636
PATTANAMTHITTA,KERALA,R>NNI,197390.12392400001,448497177.77600002289,524,516.945002212655,0.986536263764608
WAYANAD,KERALA,SULT>N BATTERY,171542.21604500001,776226256.95899987221,919,387.825300851488,0.422007944343294
KOZHIKODE,KERALA,T>MARASSERRY,242389.11249900001,568048623.24100005627,674,983.25240091607,1.45883145536509
TRISS@R,KERALA,TALAPPALLI,138650.67973700000,483270383.31999999285,571,934.920704424148,1.63733923717014
KANN@R,KERALA,TALASSERI,215536.09747099999,590156712.91799998283,702,2525.04270153586,3.59692692526476
KANN@R,KERALA,TALIPARAMBA,199035.79648799999,833382104.66700005531,995,2093.44010085193,2.1039599003537
MALAPPURAM,KERALA,TIR@R,145593.95953299999,456464150.53700000048,532,3577.05789360404,6.7237930330903
MALAPPURAM,KERALA,TIR@RANG>DI,115367.48100400000,261846953.95600000024,305,2935.36829359829,9.62415833966654
PATTANAMTHITTA,KERALA,TIRUVALLA,99671.56113870000,170861805.99200001359,199,1772.07930879295,8.90492114971331
THIRUVANANTHAPURAM,KERALA,THIRUVANANTHAPURAM,112260.13681600000,323713793.56800001860,374,9626.16039437056,25.7383967763919
IDUKKI,KERALA,TODUPUZHA,139186.84362100001,543208919.48099994659,633,449.39460227266,0.709944079419683
TRISS@R,KERALA,TRISS@R,162226.48102300000,671658294.02400004864,782,6261.92911282269,8.00758198570677
IDUKKI,KERALA,UDUMBANCHOLA,184429.52302600001,588909979.96099996567,687,81.6015998031944,0.118779621256469
KOZHIKODE,KERALA,VADAKARA,152085.99610300001,579707013.82200002670,685,1515.86220239988,2.21293752175164
KOTTAYAM,KERALA,VAIKAM,98292.83761350000,327082387.22100001574,380,533.31919539813,1.40347156683718
WAYANAD,KERALA,VAITHIRY,166868.10710900000,620793109.70500004292,739,638.650601917878,0.86420920421905
THIRUVANANTHAPURAM,KERALA,VARKALA,87766.61400700000,171818320.66600000858,197,864.605300560594,4.3888593937086
K>SARAGOD,KERALA,VELLARIKUNDU,161251.01439100000,544356835.23500001431,651,322.813100360501,0.495872658003842
